timestamp,num. busy overflows,num. calls answered,num. calls abandoned ,num. calls transferred ,num. calls timed out ,avg. num. agents talking ,avg. num. agents staffed ,avg. wait time ,avg. abandonment time
Mar 6  2017 3:45:00 PM,0,7,1,0,0,1.4,4,00:00:33,00:00:50
Mar 6  2017 4:00:00 PM,0,9,0,0,0,1,4,00:00:21,00:00:00
Mar 6  2017 4:15:00 PM,0,9,0,0,0,1.1,4,00:00:34,00:00:00
Mar 6  2017 4:30:00 PM,0,4,0,0,0,0.9,4,00:00:09,00:00:00
Mar 6  2017 4:45:00 PM,0,5,1,0,0,0.5,4,00:02:22,00:00:49
Mar 6  2017 5:00:00 PM,0,4,0,0,0,0.5,4,00:00:43,00:00:00
Mar 6  2017 5:15:00 PM,0,2,0,0,0,0.1,4,00:00:13,00:00:00
Mar 6  2017 5:30:00 PM,0,3,0,0,0,0.5,4,00:00:20,00:00:00
Mar 6  2017 5:45:00 PM,0,3,1,0,0,0.2,4,00:00:49,00:01:20
Mar 6  2017 6:00:00 PM,0,1,1,0,0,0.1,4,00:00:06,00:00:49
Mar 6  2017 6:15:00 PM,0,3,0,0,0,0.4,4,00:00:43,00:00:00
Mar 6  2017 6:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 6:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 7:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 7:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 7:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 7:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 8:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 8:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 8:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 8:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 9:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 9:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 9:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 9:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 10:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 10:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 10:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 10:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 11:00:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 11:15:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 11:30:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
Mar 6  2017 11:45:00 PM,0,0,0,0,0,0,4,00:00:00,00:00:00
